Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
3800	-15.55494	-15.21231	-0.3426394	1.354866	0.779533	0.779533	0.1364855	0.2600584	0.5736958	0.02976029	0.136485	0	0.260058	0.573696	0	0.0297603	0.136485	0.260058	0.573696	0.0297603
3900	-18.11049	-18.2941	0.183613	1.600872	0.00727425	0.00727425	0.1111103	0.7547559	0.0463024	0.08783138	0.11111	0	0.754756	0.0463024	0	0.0878314	0.11111	0.754756	0.0463024	0.0878314
4000	-18.64822	-17.64082	-1.007396	2.145915	0.653241	0.653241	0.2550298	0.4386269	0.2305829	0.07576037	0.25503	0	0.438627	0.230583	0	0.0757604	0.25503	0.438627	0.230583	0.0757604
4100	-19.0715	-19.37187	0.3003689	0.9143367	0.577054	0.577054	0.2464039	0.3367478	0.1417323	0.275116	0.246404	0	0.336748	0.141732	0	0.275116	0.246404	0.336748	0.141732	0.275116
4200	-19.46698	-19.11341	-0.3535644	1.957462	0.187862	0.187862	0.06630065	0.5026981	0.1867795	0.2442218	0.0663007	0	0.502698	0.18678	0	0.244222	0.0663007	0.502698	0.18678	0.244222
4300	-14.00974	-11.92073	-2.089014	3.307275	0.573498	0.573498	0.03902665	0.8476953	0.00342803	0.10985	0.0390266	0	0.847695	0.00342803	0	0.10985	0.0390266	0.847695	0.00342803	0.10985
4400	-18.59283	-16.77944	-1.81339	3.25085	0.3543	0.3543	0.02674199	0.7450718	0.1206509	0.1075354	0.026742	0	0.745072	0.120651	0	0.107535	0.026742	0.745072	0.120651	0.107535
4500	-16.07238	-14.61387	-1.45851	2.854011	0.396258	0.396258	0.09205911	0.4204117	0.4083289	0.07920038	0.0920591	0	0.420412	0.408329	0	0.0792004	0.0920591	0.420412	0.408329	0.0792004
4600	-20.3506	-20.0543	-0.2963068	1.469385	0.618681	0.618681	0.04251279	0.253949	0.2246996	0.4788386	0.0425128	0	0.253949	0.2247	0	0.478839	0.0425128	0.253949	0.2247	0.478839
4700	-23.0447	-20.3952	-2.649502	4.054967	0.386294	0.386294	0.2779081	0.5097747	0.1570322	0.05528489	0.277908	0	0.509775	0.157032	0	0.0552849	0.277908	0.509775	0.157032	0.0552849
4800	-17.95213	-15.96058	-1.991545	3.281205	0.5021	0.5021	0.01755312	0.7774085	0.1479107	0.05712766	0.0175531	0	0.777408	0.147911	0	0.0571277	0.0175531	0.777408	0.147911	0.0571277
4900	-17.02749	-17.34518	0.3176891	1.106269	0.367801	0.367801	0.2291112	0.02499879	0.5571153	0.1887747	0.229111	0	0.0249988	0.557115	0	0.188775	0.229111	0.0249988	0.557115	0.188775
5000	-23.11921	-23.19396	0.07474811	1.287559	0.429452	0.429452	0.121618	0.3921382	0.3212209	0.1650228	0.121618	0	0.392138	0.321221	0	0.165023	0.121618	0.392138	0.321221	0.165023
5100	-14.85175	-14.04566	-0.8060829	2.456473	0.14137	0.14137	0.07980826	0.1845929	0.7163713	0.01922753	0.0798083	0	0.184593	0.716371	0	0.0192275	0.0798083	0.184593	0.716371	0.0192275
5200	-21.60295	-20.26049	-1.342454	3.115633	0.0185805	0.0185805	0.09536995	0.4552455	0.3562917	0.09309289	0.0953699	0	0.455245	0.356292	0	0.0930929	0.0953699	0.455245	0.356292	0.0930929
5300	-14.40258	-13.93033	-0.4722511	1.874897	0.389113	0.389113	0.08869213	0.4716894	0.331251	0.1083674	0.0886921	0	0.471689	0.331251	0	0.108367	0.0886921	0.471689	0.331251	0.108367
5400	-22.70197	-21.28832	-1.413654	2.553554	0.65186	0.65186	0.04163554	0.4930068	0.3898972	0.07546042	0.0416355	0	0.493007	0.389897	0	0.0754604	0.0416355	0.493007	0.389897	0.0754604
5500	-15.63924	-15.99811	0.3588711	1.16481	0.268078	0.268078	0.1119923	0.2055333	0.4596581	0.2228163	0.111992	0	0.205533	0.459658	0	0.222816	0.111992	0.205533	0.459658	0.222816
5600	-16.11978	-15.96624	-0.1535386	1.803855	0.141443	0.141443	0.1929162	0.6266491	0.01852067	0.161914	0.192916	0	0.626649	0.0185207	0	0.161914	0.192916	0.626649	0.0185207	0.161914
5700	-17.57121	-16.02195	-1.54926	2.865442	0.475577	0.475577	0.2261175	0.15029	0.5660782	0.05751428	0.226117	0	0.15029	0.566078	0	0.0575143	0.226117	0.15029	0.566078	0.0575143
5800	-14.19665	-13.89923	-0.2974238	1.752421	0.336762	0.336762	0.06497306	0.3975912	0.4895913	0.0478444	0.0649731	0	0.397591	0.489591	0	0.0478444	0.0649731	0.397591	0.489591	0.0478444
5900	-13.9615	-13.36357	-0.5979284	2.29814	0.0915483	0.0915483	0.01938099	0.7073074	0.2206341	0.05267745	0.019381	0	0.707307	0.220634	0	0.0526774	0.019381	0.707307	0.220634	0.0526774
6000	-23.94348	-23.37575	-0.5677295	2.212924	0.146565	0.146565	0.3477088	0.3880898	0.2128355	0.05136587	0.347709	0	0.38809	0.212836	0	0.0513659	0.347709	0.38809	0.212836	0.0513659
